RECENT ADDS
Res Log:  77
Company,InvestedBy,RecentAdds,RecentDels,InvestedByList,RecentAddsList,RecentDelsList
Coforge,5,2,1,Mirae Asset Large &amp; Midcap Fund,Hdfc Mutual Fund- Hdfc Mid- Cap nOpportunities Fund,Kotak Emergency Equity Scheme,Goldman Sachs Funds - Goldman Sachs India Equity P,Small Cap World Fund Inc,Hdfc Mutual Fund- Hdfc Mid- Cap nOpportunities Fund,Small Cap World Fund Inc,Kotak Emergency Equity Scheme
Ipca Labs.,4,2,0,Parag Parikh Flexi Cap Fund,Hdfc Mutual Fund- Hdfc Mid- Cap nOpportunities Fund,Kotak Emergency Equity Scheme,Goldman Sachs Funds - Goldman Sachs India Equity P,Hdfc Mutual Fund- Hdfc Mid- Cap nOpportunities Fund,Kotak Emergency Equity Scheme,
Gland Pharma,4,2,0,Mirae Asset Large &amp; Midcap Fund,Hdfc Mutual Fund- Hdfc Mid- Cap nOpportunities Fund,Kotak Emergency Equity Scheme,Small Cap World Fund Inc,Mirae Asset Large &amp; Midcap Fund,Hdfc Mutual Fund- Hdfc Mid- Cap nOpportunities Fund,
Delhivery,2,2,0,Mirae Asset Large &amp; Midcap Fund,Small Cap World Fund Inc,Mirae Asset Large &amp; Midcap Fund,Small Cap World Fund Inc,
Cartrade Tech,2,2,0,Goldman Sachs Funds - Goldman Sachs India Equity P,Jupiter India Fund,Goldman Sachs Funds - Goldman Sachs India Equity P,Jupiter India Fund,
Ethos Ltd,2,2,0,Goldman Sachs Funds - Goldman Sachs India Equity P,Jupiter India Fund,Goldman Sachs Funds - Goldman Sachs India Equity P,Jupiter India Fund,
Neuland Labs.,2,2,0,Small Cap World Fund Inc,Jupiter India Fund,Small Cap World Fund Inc,Jupiter India Fund,
Indian Energy Ex,4,1,0,Parag Parikh Flexi Cap Fund,Massachusetts Institue of Technology,Goldman Sachs Funds - Goldman Sachs India Equity P,Small Cap World Fund Inc,Massachusetts Institue of Technology,
Page Industries,3,1,0,Mirae Asset Large &amp; Midcap Fund,Kotak Emergency Equity Scheme,Small Cap World Fund Inc,Mirae Asset Large &amp; Midcap Fund,
PB Fintech.,3,1,2,Mirae Asset Large &amp; Midcap Fund,Hdfc Mutual Fund- Hdfc Mid- Cap nOpportunities Fund,Small Cap World Fund Inc,Hdfc Mutual Fund- Hdfc Mid- Cap nOpportunities Fund,Mirae Asset Large &amp; Midcap Fund,Small Cap World Fund Inc
Cummins India,3,1,1,Hdfc Mutual Fund- Hdfc Mid- Cap nOpportunities Fund,Kotak Emergency Equity Scheme,Small Cap World Fund Inc,Hdfc Mutual Fund- Hdfc Mid- Cap nOpportunities Fund,Kotak Emergency Equity Scheme
H P C L,3,1,1,Hdfc Mutual Fund- Hdfc Mid- Cap nOpportunities Fund,Kotak Emergency Equity Scheme,Jupiter India Fund,Hdfc Mutual Fund- Hdfc Mid- Cap nOpportunities Fund,Kotak Emergency Equity Scheme
Kajaria Ceramics,3,1,0,Kotak Emergency Equity Scheme,Goldman Sachs Funds - Goldman Sachs India Equity P,Small Cap World Fund Inc,Kotak Emergency Equity Scheme,
Ramkrishna Forg.,3,1,0,Kotak Emergency Equity Scheme,Massachusetts Institue of Technology,Small Cap World Fund Inc,Small Cap World Fund Inc,
CMS Info Systems,3,1,0,Massachusetts Institue of Technology,Goldman Sachs Funds - Goldman Sachs India Equity P,Small Cap World Fund Inc,Goldman Sachs Funds - Goldman Sachs India Equity P,
Balkrishna Inds,2,1,0,Parag Parikh Flexi Cap Fund,Kotak Emergency Equity Scheme,Parag Parikh Flexi Cap Fund,
Bharat Forge,2,1,0,Mirae Asset Large &amp; Midcap Fund,Kotak Emergency Equity Scheme,Mirae Asset Large &amp; Midcap Fund,
Guj.St.Petronet,2,1,0,Mirae Asset Large &amp; Midcap Fund,Kotak Emergency Equity Scheme,Mirae Asset Large &amp; Midcap Fund,
L&T Finance Ltd,2,1,0,Mirae Asset Large &amp; Midcap Fund,Small Cap World Fund Inc,Mirae Asset Large &amp; Midcap Fund,
J Kumar Infra,2,1,0,3P India Equity Fund 1,Goldman Sachs Funds - Goldman Sachs India Equity P,3P India Equity Fund 1,
Landmark Cars,2,1,1,3P India Equity Fund 1,Goldman Sachs Funds - Goldman Sachs India Equity P,Goldman Sachs Funds - Goldman Sachs India Equity P,3P India Equity Fund 1
