Company,Ticker,Type,InvestedBy,RecentAdds,RecentDels,investorTypeCount,investorType,InvestedByList,RecentAddsList,RecentDelsList
Century Plyboard,CENTURYPLY,ALL,1,0,0,1,FII,Goldman Sachs Funds - Goldman Sachs India Equity P,,
Century Textiles,CENTURYTEX,ALL,1,0,0,1,FII,Goldman Sachs Funds - Goldman Sachs India Equity P,,
Chalet Hotels,CHALET,ALL,2,0,0,1,FII,Goldman Sachs Funds - Goldman Sachs India Equity P | Small Cap World Fund Inc,,
Crompton Gr. Con,CROMPTON,ALL,2,0,0,1,FII,Goldman Sachs Funds - Goldman Sachs India Equity P | Small Cap World Fund Inc,,
Cyient,CYIENT,ALL,1,0,0,1,FII,Goldman Sachs Funds - Goldman Sachs India Equity P,,
eClerx Services,ECLERX,ALL,1,0,0,1,FII,Goldman Sachs Funds - Goldman Sachs India Equity P,,
Escorts Kubota,ESCORTS,ALL,1,0,0,1,FII,Goldman Sachs Funds - Goldman Sachs India Equity P,,
Fine Organic,FINEORG,ALL,1,0,0,1,FII,Goldman Sachs Funds - Goldman Sachs India Equity P,,
Firstsour.Solu.,FSL,ALL,1,0,0,1,FII,Goldman Sachs Funds - Goldman Sachs India Equity P,,
Godrej Propert.,GODREJPROP,ALL,1,0,0,1,FII,Goldman Sachs Funds - Goldman Sachs India Equity P,,
Gokaldas Exports,GOKEX,ALL,1,1,0,1,FII,Goldman Sachs Funds - Goldman Sachs India Equity P,Goldman Sachs Funds - Goldman Sachs India Equity P,
Goodyear India,GOODYEAR,ALL,1,0,0,1,FII,Goldman Sachs Funds - Goldman Sachs India Equity P,,
Graphite India,GRAPHITE,ALL,1,0,0,1,FII,Goldman Sachs Funds - Goldman Sachs India Equity P,,
Grindwell Norton,GRINDWELL,ALL,1,0,0,1,FII,Goldman Sachs Funds - Goldman Sachs India Equity P,,
Happiest Minds,HAPPSTMNDS,ALL,1,0,0,1,FII,Goldman Sachs Funds - Goldman Sachs India Equity P,,
IKIO Lighting,IKIO,ALL,1,0,0,1,FII,Goldman Sachs Funds - Goldman Sachs India Equity P,,
India Cements,INDIACEM,ALL,1,0,0,1,FII,Goldman Sachs Funds - Goldman Sachs India Equity P,,
Inox India,INOXINDIA,ALL,1,1,0,1,FII,Goldman Sachs Funds - Goldman Sachs India Equity P,Goldman Sachs Funds - Goldman Sachs India Equity P,
Inox Leisure,INOXLEISUR,ALL,1,0,0,1,FII,Goldman Sachs Funds - Goldman Sachs India Equity P,,
ISGEC Heavy,ISGEC,ALL,1,1,0,1,FII,Goldman Sachs Funds - Goldman Sachs India Equity P,Goldman Sachs Funds - Goldman Sachs India Equity P,
JK Lakshmi Cem.,JKLAKSHMI,ALL,1,1,0,1,FII,Goldman Sachs Funds - Goldman Sachs India Equity P,Goldman Sachs Funds - Goldman Sachs India Equity P,
Jupiter Life Lin,JLHL,ALL,1,1,0,1,FII,Goldman Sachs Funds - Goldman Sachs India Equity P,Goldman Sachs Funds - Goldman Sachs India Equity P,
Kaynes Tech,KAYNES,ALL,1,0,0,1,FII,Goldman Sachs Funds - Goldman Sachs India Equity P,,
KFin Technolog.,KFINTECH,ALL,1,1,0,1,FII,Goldman Sachs Funds - Goldman Sachs India Equity P,Goldman Sachs Funds - Goldman Sachs India Equity P,
Kolte Patil Dev.,KOLTEPATIL,ALL,1,0,0,1,FII,Goldman Sachs Funds - Goldman Sachs India Equity P,,
Mahanagar Gas,MGL,ALL,1,0,0,1,FII,Goldman Sachs Funds - Goldman Sachs India Equity P,,
Mahindra Life.,MAHLIFE,ALL,2,1,0,1,FII,Goldman Sachs Funds - Goldman Sachs India Equity P | Small Cap World Fund Inc,Goldman Sachs Funds - Goldman Sachs India Equity P,
Medplus Health,MEDPLUS,ALL,1,1,0,1,FII,Goldman Sachs Funds - Goldman Sachs India Equity P,Goldman Sachs Funds - Goldman Sachs India Equity P,
Monte Carlo Fas.,MONTECARLO,ALL,1,0,0,1,FII,Goldman Sachs Funds - Goldman Sachs India Equity P,,
Muthoot Finance,MUTHOOTFIN,ALL,1,0,0,1,FII,Goldman Sachs Funds - Goldman Sachs India Equity P,,
Paradeep Phosph.,PARADEEP,ALL,1,0,0,1,FII,Goldman Sachs Funds - Goldman Sachs India Equity P,,
Poddar Housing,PODDARHOUS,ALL,1,0,0,1,FII,Goldman Sachs Funds - Goldman Sachs India Equity P,,
Poonawalla Fin,POONAWALLA,ALL,1,0,0,1,FII,Goldman Sachs Funds - Goldman Sachs India Equity P,,
Prataap Snacks,DIAMONDYD,ALL,2,0,0,1,FII,Goldman Sachs Funds - Goldman Sachs India Equity P | Small Cap World Fund Inc,,
PVR Inox,PVRINOX,ALL,2,1,0,1,FII,Goldman Sachs Funds - Goldman Sachs India Equity P | Small Cap World Fund Inc,Goldman Sachs Funds - Goldman Sachs India Equity P,
Railtel Corpn.,RAILTEL,ALL,1,0,0,1,FII,Goldman Sachs Funds - Goldman Sachs India Equity P,,
Rategain Travel,RATEGAIN,ALL,1,1,0,1,FII,Goldman Sachs Funds - Goldman Sachs India Equity P,Goldman Sachs Funds - Goldman Sachs India Equity P,
RattanIndia Pow.,RTNPOWER,ALL,1,0,0,1,FII,Goldman Sachs Funds - Goldman Sachs India Equity P,,
Repco Home Fin,REPCOHOME,ALL,1,0,0,1,FII,Goldman Sachs Funds - Goldman Sachs India Equity P,,
Rossari Biotech,ROSSARI,ALL,1,0,0,1,FII,Goldman Sachs Funds - Goldman Sachs India Equity P,,
Route Mobile,ROUTE,ALL,1,0,0,1,FII,Goldman Sachs Funds - Goldman Sachs India Equity P,,
Shalby,SHALBY,ALL,1,0,0,1,FII,Goldman Sachs Funds - Goldman Sachs India Equity P,,
Sharda Cropchem,SHARDACROP,ALL,1,0,0,1,FII,Goldman Sachs Funds - Goldman Sachs India Equity P,,
Sonata Software,SONATSOFTW,ALL,1,0,0,1,FII,Goldman Sachs Funds - Goldman Sachs India Equity P,,
Spandana Sphoort,SPANDANA,ALL,1,1,0,1,FII,Goldman Sachs Funds - Goldman Sachs India Equity P,Goldman Sachs Funds - Goldman Sachs India Equity P,
Suven Pharma,SUVENPHAR,ALL,1,1,0,1,FII,Goldman Sachs Funds - Goldman Sachs India Equity P,Goldman Sachs Funds - Goldman Sachs India Equity P,
TCNS Clothing Co,TCNSBRANDS,ALL,2,0,0,1,FII,Goldman Sachs Funds - Goldman Sachs India Equity P | NALANDA INDIA EQUITY FUND nLIMITED,,
Team Lease Serv.,TEAMLEASE,ALL,1,0,0,1,FII,Goldman Sachs Funds - Goldman Sachs India Equity P,,
Texmaco Rail,TEXRAIL,ALL,2,0,0,1,FII,Goldman Sachs Funds - Goldman Sachs India Equity P | Jupiter India Fund,,
Utkarsh Small F.,UTKARSHBNK,ALL,1,0,0,1,FII,Goldman Sachs Funds - Goldman Sachs India Equity P,,
Vodafone Idea,IDEA,ALL,1,0,0,1,FII,Goldman Sachs Funds - Goldman Sachs India Equity P,,
Voltas,VOLTAS,ALL,1,0,0,1,FII,Goldman Sachs Funds - Goldman Sachs India Equity P,,
VST Till. Tract.,VSTTILLERS,ALL,1,0,0,1,FII,Goldman Sachs Funds - Goldman Sachs India Equity P,,
Welspun Corp,WELCORP,ALL,1,0,0,1,FII,Goldman Sachs Funds - Goldman Sachs India Equity P,,
Zensar Tech.,ZENSARTECH,ALL,1,1,0,1,FII,Goldman Sachs Funds - Goldman Sachs India Equity P,Goldman Sachs Funds - Goldman Sachs India Equity P,
360 ONE,360ONE,ALL,1,0,1,1,FII,Small Cap World Fund Inc,,Small Cap World Fund Inc
Aarti Industries,AARTIIND,ALL,1,0,0,1,FII,Small Cap World Fund Inc,,
AAVAS Financiers,AAVAS,ALL,1,0,1,1,FII,Small Cap World Fund Inc,,Small Cap World Fund Inc
ACC,ACC,ALL,1,0,0,1,FII,Small Cap World Fund Inc,,
Aegis Logistics,AEGISLOG,ALL,1,0,1,1,FII,Small Cap World Fund Inc,,Small Cap World Fund Inc
Aptus Value Hou.,APTUS,ALL,1,1,0,1,FII,Small Cap World Fund Inc,Small Cap World Fund Inc,
Aster DM Health.,ASTERDM,ALL,1,0,0,1,FII,Small Cap World Fund Inc,,
Bajaj Electrical,BAJAJELEC,ALL,1,0,0,1,FII,Small Cap World Fund Inc,,
Bajaj Finance,BAJFINANCE,ALL,1,0,0,1,FII,Small Cap World Fund Inc,,
Canara Bank,CANBK,ALL,1,0,0,1,FII,Small Cap World Fund Inc,,
CCL Products,CCL,ALL,1,0,0,1,FII,Small Cap World Fund Inc,,
Cholaman.Inv.&Fn,CHOLAFIN,ALL,1,0,1,1,FII,Small Cap World Fund Inc,,Small Cap World Fund Inc
Cams Services,CAMS,ALL,1,0,0,1,FII,Small Cap World Fund Inc,,
Cox & Kings Fin.,CKFSL,ALL,1,0,0,1,FII,Small Cap World Fund Inc,,
Cox & Kings,COX&KINGS,ALL,1,0,0,1,FII,Small Cap World Fund Inc,,
Dalmia Bhar.,33309,ALL,1,0,0,1,FII,Small Cap World Fund Inc,,
Deepak Fertiliz.,DEEPAKFERT,ALL,1,0,0,1,FII,Small Cap World Fund Inc,,
Devyani Intl.,DEVYANI,ALL,1,0,0,1,FII,Small Cap World Fund Inc,,
Dreamfolks Servi,DREAMFOLKS,ALL,1,0,0,1,FII,Small Cap World Fund Inc,,
Endurance Tech.,ENDURANCE,ALL,1,0,0,1,FII,Small Cap World Fund Inc,,
Entero Healthcar,ENTERO,ALL,1,1,0,1,FII,Small Cap World Fund Inc,Small Cap World Fund Inc,
EPL Ltd,EPL,ALL,1,0,0,1,FII,Small Cap World Fund Inc,,
Five-Star Bus.Fi,FIVESTAR,ALL,1,0,1,1,FII,Small Cap World Fund Inc,,Small Cap World Fund Inc
G R Infraproject,GRINFRA,ALL,1,0,0,1,FII,Small Cap World Fund Inc,,
Glenmark Pharma.,GLENMARK,ALL,1,0,1,1,FII,Small Cap World Fund Inc,,Small Cap World Fund Inc
GRUH Finance,GRUH,ALL,1,0,0,1,FII,Small Cap World Fund Inc,,
Guj Pipavav Port,GPPL,ALL,1,0,0,1,FII,Small Cap World Fund Inc,,
Gulf Oil Lubric.,GULFOILLUB,ALL,1,0,0,1,FII,Small Cap World Fund Inc,,
Havells India,HAVELLS,ALL,2,0,1,1,FII,Small Cap World Fund Inc | NALANDA INDIA EQUITY FUND nLIMITED,,NALANDA INDIA EQUITY FUND nLIMITED
HDFC AMC,HDFCAMC,ALL,1,0,0,1,FII,Small Cap World Fund Inc,,
